scenario_id,agent_id,complexity,offload_choice,layer,battery_consumption,latency_ms,overload_prob,success,cpu_usage,bw_0,bw_1,bw_2
26,0,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
26,1,hard,1,Edge,0.0435,58.5,0.3,1.0,0.9,0.7,0.2,0.1
26,2,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
26,3,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
26,4,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
27,0,easy,2,Fog,0.057999999999999996,45.5,0.05,1.0,0.9,0.7,0.2,0.1
27,1,easy,2,Fog,0.057999999999999996,45.5,0.05,1.0,0.9,0.7,0.2,0.1
27,2,easy,4,Reject,0.0105,0.0,0.0,0.0,0.1,0.33,0.33,0.34
27,3,easy,2,Fog,0.057999999999999996,45.5,0.05,1.0,0.9,0.7,0.2,0.1
27,4,easy,1,Edge,0.0435,27.3,0.05,1.0,0.9,0.7,0.2,0.1
28,0,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
28,1,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
28,2,medium,4,Reject,0.0105,0.0,0.0,0.0,0.1,0.33,0.33,0.34
28,3,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
28,4,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
29,0,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
29,1,medium,1,Edge,0.0435,39.0,0.15,1.0,0.9,0.7,0.2,0.1
29,2,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
29,3,medium,1,Edge,0.0435,39.0,0.15,1.0,0.9,0.7,0.2,0.1
29,4,medium,1,Edge,0.0435,39.0,0.15,1.0,0.9,0.7,0.2,0.1
30,0,easy,1,Edge,0.0435,27.3,0.05,1.0,0.9,0.7,0.2,0.1
30,1,easy,1,Edge,0.0435,27.3,0.05,1.0,0.9,0.7,0.2,0.1
30,2,easy,1,Edge,0.0435,27.3,0.05,1.0,0.9,0.7,0.2,0.1
30,3,easy,2,Fog,0.057999999999999996,45.5,0.05,1.0,0.9,0.7,0.2,0.1
30,4,easy,2,Fog,0.057999999999999996,45.5,0.05,1.0,0.9,0.7,0.2,0.1
31,0,easy,2,Fog,0.057999999999999996,45.5,0.05,1.0,0.9,0.7,0.2,0.1
31,1,easy,1,Edge,0.0435,27.3,0.05,1.0,0.9,0.7,0.2,0.1
31,2,easy,1,Edge,0.0435,27.3,0.05,1.0,0.9,0.7,0.2,0.1
31,3,easy,1,Edge,0.0435,27.3,0.05,1.0,0.9,0.7,0.2,0.1
31,4,easy,2,Fog,0.057999999999999996,45.5,0.05,1.0,0.9,0.7,0.2,0.1
32,0,easy,2,Fog,0.057999999999999996,45.5,0.05,1.0,0.9,0.7,0.2,0.1
32,1,easy,1,Edge,0.0435,27.3,0.05,1.0,0.9,0.7,0.2,0.1
32,2,easy,2,Fog,0.057999999999999996,45.5,0.05,1.0,0.9,0.7,0.2,0.1
32,3,easy,1,Edge,0.0435,27.3,0.05,1.0,0.9,0.7,0.2,0.1
32,4,easy,2,Fog,0.057999999999999996,45.5,0.05,1.0,0.9,0.7,0.2,0.1
33,0,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
33,1,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
33,2,medium,1,Edge,0.0435,39.0,0.15,1.0,0.9,0.7,0.2,0.1
33,3,medium,1,Edge,0.0435,39.0,0.15,1.0,0.9,0.7,0.2,0.1
33,4,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
34,0,medium,0,Local,0.0725,10.0,0.22499999999999998,1.0,0.9,0.33,0.33,0.34
34,1,medium,1,Edge,0.0435,39.0,0.15,1.0,0.9,0.7,0.2,0.1
34,2,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
34,3,medium,1,Edge,0.0435,39.0,0.15,1.0,0.9,0.7,0.2,0.1
34,4,medium,1,Edge,0.0435,39.0,0.15,1.0,0.9,0.7,0.2,0.1
35,0,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
35,1,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
35,2,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
